Captain_ID,Home_Base,Legs
107,BER,"[3504676771, 3504676194, 3504676681]"
682,STR,"[3504676427, 3504676957, 3504676834, 3505309620, 3505309727, 3505309728]"
612,CGN,"[3504676250, 3504676252, 3504676205]"
141,STR,"[3504676458, 3504676977, 3504676943, 3505309730, 3505309635, 3505309634, 3505309749, 3505310444]"
96,DUS,"[3504676838, 3504676839, 3504676844]"
107,BER,"[3504676332, 3504676374, 3504676891]"
522,CGN,"[3504676225, 3504676224, 3504676190]"
412,HAM,"[3504676757, 3504676758, 3504676709, 3505309644, 3505309679, 3505309367]"
88,STR,"[3504676407, 3504676413, 3504676365]"
842,STR,"[3504676330, 3504676336]"
200,STR,"[3504676337, 3504676536]"
712,DUS,"[3504676828, 3504676831]"
190,DUS,"[3504676832, 3504676837]"
33,STR,"[3504676392, 3504676931, 3504676924, 3505309714, 3505309616, 3505310320, 3505310418, 3505310003]"
189,STR,"[3504676355, 3504676356, 3504676455, 3505309761]"
107,BER,"[3504676551, 3504676969, 3504676836]"
61,STR,"[3504676357, 3504676212, 3504676200]"
455,CGN,"[3504676322, 3504676324, 3504676227]"
365,BER,"[3504676781, 3504676897, 3504676824]"
165,STR,"[3504676445, 3504676449, 3504676382, 3505309692, 3505309733]"
394,BER,"[3504676769, 3504676311]"
839,BER,"[3504676795, 3504676798]"
940,CGN,"[3504676326, 3504676328]"
937,HAJ,"[3504676507, 3504676509]"
24,STR,"[3504676388, 3504676736, 3504676731]"
876,DUS,"[3504676918, 3504676919, 3504676935]"
555,DUS,"[3504676976, 3504676803]"
882,DUS,"[3504676822, 3504676201]"
625,HAM,"[3504676737, 3504676738, 3504676660]"
133,STR,"[3504676555, 3504676557]"
401,DUS,"[3504676866, 3504676869]"
122,STR,"[3504676365, 3504676879]"
64,STR,"[3504676386, 3504676387]"
67,DUS,"[3504676886, 3504676887]"
341,BER,"[3504676789, 3504676790]"
93,BER,"[3504676787, 3504676788]"
449,HAM,"[3504676729, 3504676730]"
871,BER,"[3504676799, 3504676801]"
